Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
379,342.77777777777777,343.3333333333333,456.3333333333333,335.77777777777777,0,7,2,0
380,345.4,344.06666666666666,458.6666666666667,336.1333333333333,0,6,9,0
381,343.6,344.4,456.8,336.6,0,7,3,0
382,342.9166666666667,344.3333333333333,456.5,338.1666666666667,1,4,7,0
383,344.1333333333333,345.06666666666666,457.73333333333335,338.6,0,12,3,0
384,342.4,345.73333333333335,455.8,338.8666666666667,0,13,2,0
385,347.6,345.93333333333334,460.6,339.4,0,8,7,0
386,348.0,346.0,460.93333333333334,338.53333333333336,0,5,10,0
387,345.0,345.35714285714283,457.92857142857144,339.35714285714283,0,10,4,0
388,327.625,317.625,432.125,319.375,1,3,4,0
389,311.0769230769231,282.9230769230769,399.53846153846155,289.2307692307692,7,1,5,0
390,346.0,285.0,433.0,303.0,0,0,1,0
391,346.5,328.0,449.0,324.75,4,0,0,0
392,346.1333333333333,329.4,448.8666666666667,326.06666666666666,15,0,0,0
393,344.9375,332.4375,448.625,328.5,16,0,0,0
394,343.46666666666664,334.06666666666666,447.53333333333336,329.6666666666667,12,0,3,0
395,335.07142857142856,337.2142857142857,439.7142857142857,333.0,8,4,2,0
396,,,,,0,0,0,0
397,325.44444444444446,336.3333333333333,427.44444444444446,331.1111111111111,8,0,1,0
398,314.25,286.5,401.0,291.75,3,0,1,0
399,,,,,0,0,0,0
400,,,,,0,0,0,0
401,,,,,0,0,0,0
402,269.2,288.8,336.8,297.0,0,0,5,0
403,,,,,0,0,0,0
404,,,,,0,0,0,0
405,,,,,0,0,0,0
406,,,,,0,0,0,0
407,286.0,326.0,347.0,322.0,0,1,0,0
408,254.33333333333334,340.6666666666667,323.6666666666667,333.8888888888889,2,7,0,0
409,,,,,0,0,0,0
410,,,,,0,0,0,0
411,,,,,0,0,0,0
412,,,,,0,0,0,0
413,,,,,0,0,0,0
414,,,,,0,0,0,0
415,,,,,0,0,0,0
