Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2)
1099.0,-0.04492864492,-0.039946326755,0.2154169937,0.2238710036
1100.0,-0.047044550215,-0.033805212665,0.21950045705,0.22736176925
1101.0,-0.0728939985,-0.038154427355,0.21258202895,0.22802163004999998
1102.0,-0.06397665304,-0.04108308043,0.21482049855000002,0.22812897664999998
1103.0,-0.068109769975,-0.04077893927,0.2088742234,0.2234775493
1104.0,-0.045471834045,-0.035731436345,0.2183634192,0.2259726105
1105.0,-0.061106358255,-0.040779296365,0.21583960545,0.22804201335000002
1106.0,-0.057411454560000005,-0.034915731185,0.21672469565,0.22690422635000002
1107.0,-0.055349421115,-0.033057683865,0.2160548877,0.2254736557
1108.0,-0.05590328754,-0.03947613566,0.21639161375,0.22696796295
1109.0,-0.050865240635,-0.043849701840000005,0.2166999694,0.2268714289
1110.0,-0.055826002555000004,-0.040958223805,0.2154405117,0.22629367745
1111.0,-0.051836859425,-0.047347398045,0.21634946924999998,0.22745780825
1112.0,-0.052327012255,-0.05068414268,0.214478523,0.22651718329999998
1113.0,-0.037077565975,-0.039393316240000004,0.21789186905,0.22695214330000002
1114.0,-0.04305428825,-0.038559076375,0.21596262605,0.2236561671
1115.0,-0.049061734245,-0.041245007515,0.21883162109999998,0.22829163515
1116.0,-0.06511849760999999,-0.044418846875,0.213509656,0.22760273265
1117.0,-0.04159812587,-0.04420202424,0.21664168109999998,0.2252580233
1118.0,-0.046469073025,-0.045213877825,0.21731756075,0.226803051
1119.0,-0.043048050605,-0.052027362745,0.2172030613,0.2274623865
1120.0,-0.038188528655,-0.048334461695,0.21910497615,0.2276121862
1121.0,-0.041557907705,-0.045920777045,0.21896625605,0.2275911071
1122.0,-0.046331240610000005,-0.045222880539999996,0.21679042269999999,0.22629025460000002
1123.0,-0.04732525541,-0.04586604241,0.2181614049,0.227911383
1124.0,-0.04437919736,-0.041870293414999996,0.21925980890000002,0.2276266916
1125.0,-0.039769218445000004,-0.0410116029,0.2190790488,0.22641412840000003
1126.0,-0.03999453734,-0.04495090863,0.21903032295000002,0.22715963709999998
1127.0,-0.04655611906,-0.04464186801,0.21802229955,0.2273638147
1128.0,-0.0476130647,-0.047520070705,0.21765587125,0.2278939344
1129.0,-0.047290356685,-0.04592727376,0.2179208238,0.22768764354999999
1130.0,-0.053843084365,-0.046144235485000004,0.21560216055,0.227012708
1131.0,-0.060569560475000006,-0.0464315052,0.21489865515,0.22804882705
1132.0,-0.055657179475,-0.04607538673,0.21828743355000002,0.22995269115
1133.0,-0.05272924356,-0.051824174255,0.2159731636,0.22828541785
1134.0,-0.056856185229999995,-0.059488803845,0.21298092224999998,0.2283391071
1135.0,-0.056386370135,-0.05623534926,0.21390847429999998,0.228293093
1136.0,-0.051864033935,-0.055872904259999995,0.21543063325,0.2285227413
1137.0,-0.048973066465,-0.050096496705,0.2156677095,0.22676536120000002
1138.0,-0.04726324723,-0.05399679555,0.21660367279999998,0.22819166285
1139.0,-0.045623065275,-0.053432088904999994,0.21565393425,0.22681591895
1140.0,-0.040393954800000006,-0.048926795664999995,0.21854237715,0.2275805686
1141.0,-0.03982243204,-0.049039112355,0.2192901223,0.22822175925
1142.0,-0.045479484755,-0.049661984640000004,0.21833607030000002,0.2284859691
1143.0,-0.04718828958,-0.05629546302,0.2175724393,0.2296381505
1144.0,-0.047334117095,-0.054224012555,0.2154038232,0.22712773139999998
1145.0,-0.05026724399,-0.052198409425,0.21597762110000002,0.2278126024
1146.0,-0.045390206695000004,-0.05241833425,0.2174101645,0.22821000205
1147.0,-0.044762005825000006,-0.050143014085,0.21693988339999998,0.2271322009
1148.0,-0.041822762945,-0.041447372745,0.2185005846,0.22629542284999998
1149.0,-0.039811892415,-0.040909025885,0.2202630756,0.2275509214
1150.0,-0.041113174985,-0.0389829604,0.2193948794,0.22659233155
1151.0,-0.0477464437,-0.037573471420000004,0.21652542025,0.22502585149999998
1152.0,-0.050473773475,-0.045564382475,0.2214290086,0.2324400163
1153.0,-0.055612900335,-0.040960539415,0.21502474245,0.22840232925
1154.0,-0.039300923235,-0.046065963805,0.22013492135,0.22911250405
1155.0,-0.050167298505,-0.040821218605,0.21733518595,0.22677972395
1156.0,-0.051443948010000004,-0.041223741005,0.2170624564,0.2268629243
1157.0,-0.049507453795,-0.04692968132,0.21719088204999998,0.22769711575
1158.0,-0.048784076015,-0.04758569103,0.21764061575,0.22808285125
1159.0,-0.042260734135,-0.04727692677,0.21791019174999998,0.22695615115
1160.0,-0.038592550505,-0.0455722621,0.2200129011,0.2280025826
1161.0,-0.043007627835,-0.044761094685,0.21921119719999999,0.22785392389999998
1162.0,-0.045495644695000004,-0.04797659736,0.2177129602,0.2275604463
1163.0,-0.05283696474,-0.05009593425,0.21637294415,0.228297215
1164.0,-0.047972445195000005,-0.04535340147,0.21800101090000001,0.22785098975
1165.0,-0.04643578122,-0.043553436825,0.22028635355,0.22930605199999998
1166.0,-0.05045920995,-0.04863730746,0.21603520455,0.2271319926
1167.0,-0.052104601635,-0.043708847055,0.21801348415,0.22838813025
1168.0,-0.049605070595,-0.0453483311,0.21853044295,0.22863782265
1169.0,-0.049460172405,-0.048271840235,0.21766071015,0.22838915095
1170.0,-0.048098152899999996,-0.047617844795,0.219002496,0.22925590010000002
1171.0,-0.055681253915000006,-0.043961993729999996,0.21751863245,0.22890802475
1172.0,-0.04781753011,-0.03775756713,0.2193869874,0.2277110749
1173.0,-0.043904467265,-0.03719997431,0.22024391035000002,0.22765586835
1174.0,-0.047219161125,-0.04120533681,0.2184459499,0.2272683856
1175.0,-0.049358773854999996,-0.04715661984,0.21756431485,0.22802591165
1176.0,-0.047060771515,-0.04382328452,0.2192691216,0.22850859745000002
1177.0,-0.045740695225,-0.046112342485,0.2189624196,0.22839578685
1178.0,-0.043601639105,-0.046151318395,0.2196113315,0.2286124465
1179.0,-0.048314568365000005,-0.043467978795,0.21687198255,0.22644940655
1180.0,-0.02524141491,-0.056663329799999995,0.22171545204999998,0.23026789265
1181.0,-0.069468665505,-0.04520585556,0.2136226008,0.2292003346
1182.0,-0.038305478145,-0.05189634688,0.21799808575000001,0.22749950484999998
1183.0,-0.04599993658,-0.052891911215000004,0.2174365096,0.22847525429999999
1184.0,-0.044734605145,-0.03879783222,0.2191931071,0.22708197845
1185.0,-0.04775844959,-0.0461897394,0.21797142175,0.2278989694
1186.0,-0.042023142279999995,-0.050042445199999994,0.21886753344999998,0.22843823195000001
