Time (s),Inclination (deg),Rotation (deg)
537.0,39.09459082,-115.1135163
538.0,39.098977105,-115.08043285
539.0,39.10833271,-115.07555740000001
540.0,39.106566009999995,-115.10043325000001
541.0,39.112267489999994,-115.05940785
542.0,39.09693073,-115.08431655000001
543.0,39.08797139,-115.1472263
544.0,39.080768335,-115.08564015
545.0,39.0891932,-115.12142639999999
546.0,39.071209505,-115.101457
547.0,39.08569377,-115.10959525
548.0,39.06334242,-115.1242744
549.0,38.60302959,-114.63760075
550.0,38.16787686,-114.6551548
551.0,38.51426565,-115.0570629
552.0,38.45203892,-115.15968035
553.0,38.434272815,-115.14275599999999
554.0,38.44471569,-115.1322312
555.0,38.443366694999995,-115.1675449
556.0,38.46696918,-115.1243953
557.0,38.445836005,-115.1764992
558.0,38.435695609999996,-115.20061375
559.0,38.724127205,-115.18161749999999
560.0,38.212613075,-114.75083515
561.0,37.82290596,-115.3588552
562.0,37.78683502,-115.4067339
563.0,36.729787805,-113.46550819999999
564.0,37.936967515000006,-115.91116980000001
565.0,37.717611425,-115.2601271
566.0,37.978640935,-115.0412221
567.0,37.931177755,-114.94622150000001
568.0,37.99629287,-114.8408492
569.0,38.00776175,-114.8391483
570.0,37.999552035,-114.80245685
571.0,38.01947455,-114.75555675
572.0,38.01256973,-114.7961152
573.0,38.025265125000004,-114.74118265
574.0,38.03222935,-114.77102305
575.0,38.01663945,-114.7802711
576.0,38.031148044999995,-114.7441461
577.0,38.018925445,-114.7715809
578.0,38.150604005,-114.81721519999999
579.0,38.21081313,-115.00560815
580.0,38.284114419999995,-115.21147815
581.0,37.2510619,-117.3139223
582.0,37.1448182,-117.02451884999999
583.0,38.00565387,-116.6646204
584.0,41.450674989999996,-131.36287135
585.0,69.099011175,-157.16471525
586.0,74.965458265,-166.90583075
587.0,84.567200175,-175.7429988
588.0,90.78182849,-178.6981601
589.0,81.758887915,-176.87072435
590.0,80.233807115,179.71951485
591.0,82.988126705,2.3795867999999984
592.0,86.589065035,-171.65581475
593.0,79.80699979,-0.9711724000000004
594.0,88.45529717,0.14990794999999935
595.0,83.6924517,-175.5582278
596.0,79.80601826,-173.9566635
597.0,80.053907555,-175.64674095
598.0,73.41987445000001,-173.30464105
599.0,67.118512695,-175.99593555
600.0,69.79927561,-176.56740910000002
601.0,71.75884064,179.2337531
602.0,66.97715323,-176.61714775000002
603.0,74.00726631,1.5256253000000015
604.0,68.184446965,-174.68424065
605.0,60.12609576,-177.96149035
606.0,82.760333955,0.8196903500000019
607.0,81.71250917,-1.1478602000000109
608.0,79.740639,178.54928660000002
609.0,83.46215483,-174.8704417
610.0,84.54532737,179.24865985000002
611.0,80.703861055,176.86854425
612.0,69.54941113000001,175.89680335
613.0,75.11743623,0.12425845000001345
614.0,84.783849425,-1.2632598999999942
615.0,80.350174605,174.9509938
616.0,83.15063186,162.4686008
617.0,86.25396583,-2.6014201499999956
618.0,70.65153216,-0.6194258000000019
619.0,78.243511955,-166.6435108
620.0,55.77617076,-133.02249265
621.0,16.24721759,53.32838533
622.0,20.141957655,18.66024245
623.0,22.97490901,-93.916658595
624.0,49.304477559999995,-122.42919795
625.0,38.383032965,-123.29112715
626.0,33.348845014999995,-129.5409422
627.0,30.29856187,-125.83607599999999
628.0,31.41890893,-124.1078923
629.0,29.98546467,-125.53242900000001
630.0,30.323916665000002,-125.17097405
631.0,33.41685783,-119.9137796
632.0,32.636790669999996,-122.42509065
633.0,32.16299558,-122.42106685
634.0,32.79704369,-119.6198697
635.0,32.444555145,-119.79431195000001
636.0,32.416088290000005,-120.1278171
637.0,31.985970955,-120.7755793
638.0,31.5846721,-121.3235547
639.0,31.616337125,-121.21226100000001
640.0,32.29937301,-121.8839664
641.0,31.69769856,-122.03917885
642.0,31.214959805,-122.38735835
643.0,31.226376815000002,-122.1754337
644.0,31.163753794999998,-122.2976489
645.0,30.94741465,-121.8193744
646.0,31.05406102,-121.6241864
647.0,31.286166729999998,-122.26893455
648.0,30.980646704999998,-123.08582735
649.0,31.008909674999998,-122.7250515
650.0,30.99480785,-122.83152115
651.0,31.023844065,-122.76600045
652.0,31.06621609,-122.7705657
653.0,31.01608408,-122.84859365
654.0,31.06099011,-122.769612
655.0,31.047087655,-122.8528144
656.0,31.02145469,-122.8735612
657.0,31.0576845,-122.8227664
658.0,31.02648442,-122.9314222
659.0,31.02227499,-122.8983137
660.0,31.071547504999998,-122.82924854999999
661.0,31.054921569999998,-122.88338665
662.0,31.02946914,-122.9240071
663.0,31.07874247,-122.88195285
664.0,31.03244036,-122.9937062
665.0,31.03509992,-122.96446725
666.0,31.07529145,-122.90352025
667.0,31.061048815,-122.9915453
668.0,31.06249949,-122.9126419
669.0,31.083100175,-122.8905111
670.0,31.04717969,-122.9211534
671.0,31.080954300000002,-122.89889174999999
672.0,31.052968845,-122.9779537
673.0,31.05790781,-122.92594255
674.0,30.88042877,-122.87078015
675.0,30.28828589,-122.72853094999999
676.0,30.49848872,-122.737497
677.0,30.185995055,-122.52053225
678.0,30.618917085,-121.91908315
679.0,31.118569049999998,-120.99570829999999
680.0,30.81724243,-119.6564746
681.0,30.213359580000002,-119.6325009
682.0,29.91171528,-120.1341703
683.0,29.476888459999998,-118.78596745
684.0,29.558689010000002,-119.35862055
685.0,29.898376835,-120.07114365000001
686.0,30.033349379999997,-120.1983945
687.0,29.8791983,-120.5900452
688.0,30.191804335,-119.33709759999999
689.0,30.62514385,-118.86365435
690.0,30.62218166,-118.1988556
691.0,30.057142759999998,-118.88503775
692.0,30.044950945,-119.85425194999999
693.0,30.03014401,-120.3333106
694.0,30.12179532,-118.615323
695.0,30.512219424999998,-118.2458852
696.0,31.305431925,-116.38350685
697.0,30.67903613,-117.87712365
698.0,30.299873905,-119.48258609999999
699.0,29.079132225000002,-121.69826169999999
700.0,28.96964849,-122.2642845
701.0,29.128469705,-121.86556685
702.0,29.11433557,-121.65121005
703.0,29.47877155,-120.96466715
704.0,29.667016245,-120.59726035
705.0,29.64215423,-120.75292830000001
706.0,29.6194361,-120.7354963
707.0,29.634203275,-120.91709495
708.0,29.618361975,-121.18789670000001
709.0,29.87738296,-121.2135289
710.0,29.704120725000003,-121.77156925
711.0,29.71385378,-122.3819161
712.0,29.92629065,-122.7756354
713.0,29.912184255,-122.46730885
714.0,29.913735375,-122.4361117
715.0,29.9103499,-122.42290695
716.0,29.894336305000003,-122.52994865
717.0,29.918248225,-122.48548215
718.0,29.92030939,-122.7002733
719.0,29.90525007,-122.56285475
720.0,29.913815935000002,-122.57404679999999
721.0,29.907293235,-122.6969955
722.0,29.89307051,-122.62298755
723.0,29.881622205,-122.70155489999999
724.0,29.89236801,-122.6625576
725.0,29.89345137,-122.65481405
726.0,29.890829045,-122.72254755
727.0,29.852845525,-122.73025055
728.0,29.84515759,-122.69308860000001
729.0,29.841393744999998,-122.79255459999999
730.0,29.80240564,-122.7281601
731.0,29.79998025,-122.75479139999999
732.0,29.792808165,-122.8275271
733.0,29.80830661,-122.75235115000001
734.0,29.808579289999997,-122.83971185
735.0,29.808883005,-122.8134405
736.0,29.81682618,-122.7726051
737.0,29.808721645,-122.87732765
738.0,29.805478739999998,-122.79506085
739.0,29.821293365,-122.78773975
740.0,29.976276555,-123.10349925
741.0,29.864284445000003,-123.08991555
742.0,29.63936121,-123.1327839
743.0,29.91844141,-122.50433615
744.0,29.848476135,-122.66346419999999
745.0,30.17670727,-122.69228405
746.0,29.829638695,-122.31293145
747.0,29.86940962,-122.52941385
748.0,29.872229025000003,-122.58192174999999
749.0,29.90773996,-122.5231671
750.0,29.888598175,-122.70985235
751.0,29.786297925,-122.8808649
752.0,29.80059208,-122.67584925
753.0,29.794360935,-122.73867365000001
754.0,29.79674148,-122.6402179
755.0,29.81634046,-122.67505835
756.0,29.813626024999998,-122.66789945
757.0,29.840126165,-122.60773695
758.0,29.82688313,-122.68128365
759.0,29.830841975,-122.62077755000001
760.0,29.84777809,-122.5707163
761.0,29.838249455,-122.67521464999999
762.0,29.841708675,-122.60905629999999
763.0,29.849521279999998,-122.58115624999999
764.0,29.843987225,-122.65799565
765.0,29.86126955,-122.61288625
766.0,29.87779871,-122.6011121
767.0,29.848093245,-122.64663300000001
768.0,29.870810825,-122.56868215
769.0,29.887041985,-122.5984794
770.0,29.881311875,-122.6219453
771.0,29.896045309999998,-122.58586925
772.0,29.88590429,-122.6167564
773.0,29.90881465,-122.61422785
774.0,29.91596866,-122.6167021
775.0,29.90614875,-122.6728212
776.0,29.90162737,-122.62799255
777.0,29.905064665,-122.66780495
778.0,29.888832335,-122.65234219999999
779.0,29.9859025,-122.6957573
