Time,Event,Key/Button,PositionX,PositionY
2024-06-08 21:42:44, Mouse Move,,,902,1042
2024-06-08 21:42:44, Mouse Move,,,902,1041
2024-06-08 21:42:44, Mouse Move,,,902,1038
2024-06-08 21:42:44, Mouse Move,,,902,1037
2024-06-08 21:42:44, Mouse Move,,,904,1036
2024-06-08 21:42:44, Mouse Move,,,904,1035
2024-06-08 21:42:44, Mouse Move,,,904,1033
2024-06-08 21:42:44, Mouse Move,,,904,1032
2024-06-08 21:42:44, Mouse Move,,,905,1031
2024-06-08 21:42:44, Mouse Move,,,905,1030
2024-06-08 21:42:44, Mouse Move,,,905,1028
2024-06-08 21:42:44, Mouse Move,,,905,1027
2024-06-08 21:42:44, Mouse Move,,,909,1021
2024-06-08 21:42:44, Mouse Move,,,912,1015
2024-06-08 21:42:44, Mouse Move,,,915,1010
2024-06-08 21:42:44, Mouse Move,,,916,1005
2024-06-08 21:42:44, Mouse Move,,,919,1001
2024-06-08 21:42:44, Mouse Move,,,920,998
2024-06-08 21:42:44, Mouse Move,,,921,997
2024-06-08 21:42:44, Mouse Move,,,921,995
2024-06-08 21:42:44, Mouse Move,,,922,993
2024-06-08 21:42:44, Mouse Move,,,922,992
2024-06-08 21:42:45, Mouse Click,Button.left,922,992
2024-06-08 21:42:46, Mouse Move,,,956,913
2024-06-08 21:42:46, Mouse Move,,,985,833
2024-06-08 21:42:46, Mouse Move,,,1011,767
2024-06-08 21:42:46, Mouse Move,,,1026,733
2024-06-08 21:42:46, Mouse Move,,,1035,716
2024-06-08 21:42:46, Mouse Move,,,1040,705
2024-06-08 21:42:46, Mouse Move,,,1044,698
2024-06-08 21:42:46, Mouse Move,,,1047,695
2024-06-08 21:42:46, Mouse Move,,,1049,692
2024-06-08 21:42:46, Mouse Move,,,1050,690
