"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.606079897E2,-1.583766130E1,-2.470613601E1
2.611089968E2,-1.583444518E1,-2.474026714E1
2.616098818E2,-1.582532908E1,-2.470486547E1
2.621106447E2,-1.588059757E1,-2.470082647E1
2.626111025E2,-1.591640388E1,-2.469166177E1
2.631121096E2,-1.583897190E1,-2.471803697E1
2.641129030E2,-1.584987126E1,-2.471644182E1
2.646144289E2,-1.589251500E1,-2.471753595E1
2.651154055E2,-1.589409016E1,-2.471221812E1
2.656160158E2,-1.584171379E1,-2.469085676E1
2.661169924E2,-1.584965190E1,-2.475237066E1
2.666177248E2,-1.587549345E1,-2.482576173E1
2.671188234E2,-1.604576166E1,-2.530243713E1
2.676205009E2,-1.603450793E1,-2.671849921E1
2.681219973E2,-1.618593294E1,-2.727247153E1
2.686228212E2,-1.574934508E1,-2.726762373E1
2.691245607E2,-1.567519900E1,-2.709433843E1
2.701266970E2,-1.610797598E1,-2.532478855E1
2.706283754E2,-1.575878834E1,-2.525914152E1
2.711300234E2,-1.572543855E1,-2.514533827E1
2.716307253E2,-1.566438013E1,-2.506662636E1
2.721317629E2,-1.574693220E1,-2.499317809E1
2.726324343E2,-1.567969130E1,-2.501350174E1
2.731341433E2,-1.562623534E1,-2.498798150E1
2.736357607E2,-1.559513629E1,-2.479474558E1
2.741372561E2,-1.556408491E1,-2.473519536E1
2.746390871E2,-1.568208213E1,-2.488469874E1
2.751403994E2,-1.544431838E1,-2.457432648E1
2.756417643E2,-1.500410214E1,-2.471824776E1
2.766436125E2,-1.531367537E1,-2.433581563E1
2.771452061E2,-1.527726937E1,-2.434240560E1
2.776461367E2,-1.538465657E1,-2.421044520E1
2.781476125E2,-1.535102582E1,-2.426592173E1
2.786478501E2,-1.537426405E1,-2.424238180E1
2.791492800E2,-1.535606243E1,-2.421709843E1
2.796501093E2,-1.534064208E1,-2.424239580E1
2.801509027E2,-1.540357223E1,-2.424072129E1
2.806522455E2,-1.538144825E1,-2.423949556E1
2.811535272E2,-1.532718560E1,-2.423131209E1
2.816549921E2,-1.532840823E1,-2.424851695E1
2.826568536E2,-1.535446772E1,-2.422404804E1
2.831585016E2,-1.541704909E1,-2.415177268E1
2.836596307E2,-1.534516412E1,-2.415176199E1
2.841607294E2,-1.532825792E1,-2.416265670E1
2.846607294E2,-1.530922278E1,-2.413797750E1
2.851617059E2,-1.528206599E1,-2.412089264E1
2.856630792E2,-1.535739667E1,-2.410152107E1
2.861642084E2,-1.535188517E1,-2.411318823E1
2.866655206E2,-1.530066405E1,-2.415761429E1
2.871669244E2,-1.529413596E1,-2.416884046E1
